id,user_id,blog_id,liked_at
1,10,51,2025-02-05 23:05:00
2,15,51,2025-02-05 23:15:00
3,8,52,2025-02-05 23:25:00
4,20,53,2025-02-06 00:05:00
5,25,54,2025-02-06 00:15:00
6,18,55,2025-02-06 00:25:00
7,30,56,2025-02-06 00:35:00
8,12,57,2025-02-06 00:50:00
9,6,58,2025-02-06 01:05:00
10,19,59,2025-02-06 01:20:00
11,35,60,2025-02-06 01:35:00
12,5,61,2025-02-06 01:50:00
13,40,62,2025-02-06 02:05:00
14,29,63,2025-02-06 02:20:00
15,42,64,2025-02-06 02:35:00
16,13,65,2025-02-06 02:50:00
17,50,66,2025-02-06 03:05:00
18,3,67,2025-02-06 03:20:00
19,24,68,2025-02-06 03:35:00
20,2,69,2025-02-06 03:50:00
